trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,6,-59.35422205921085,"{0: 9, 1: 2, 2: 2, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",30,0,-202.519774040884,"{0: 15, 1: 5, 2: 7, 3: 0, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-119.93064310193574,"{0: 15, 1: 2, 2: 5, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-204.7526742985492,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-83.93544518835027,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-76.2259384501716,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,15,-4.385446187337863,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-120.9822704873529,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-197.73573371983343,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-78.26258174009259,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-154.9070423635269,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-60.54830662552303,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,8.343743001358021,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-42.776316098125875,"{0: 25, 1: 1, 2: 3, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-16.1911402830447,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-47.658315761762154,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,13.887765890131641,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,13,23.711463993665248,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,22.565452393029044,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-20.71242725144506,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",25,0,-40.67218971351063,"{0: 20, 1: 1, 2: 2, 3: 2, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",20,3,25.764002741554656,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,19,11.705873270635724,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,23.58046288641589,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",35,21,-20.31850042247479,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
6,True,"{'a': 0, 'e': 0}",25,0,-45.964234519839714,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
7,True,"{'a': 0, 'e': 0}",25,0,-6.382414249889816,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-22.765384985716324,"{0: 22, 1: 0, 2: 1, 3: 2, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",25,0,39.370992992737186,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,True,"{'a': 0, 'e': 0}",20,5,-41.198982035609035,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
