trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.6, 'e': 1.0}",30,0,-228.99173412514392,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 5}",0
2,False,"{'a': 0.6, 'e': 1.0}",20,0,-98.90500544249215,"{0: 14, 1: 3, 2: 0, 3: 1, 4: 2}",0
3,False,"{'a': 0.6, 'e': 1.0}",25,0,-138.18182139237499,"{0: 15, 1: 1, 2: 7, 3: 0, 4: 2}",0
4,False,"{'a': 0.6, 'e': 1.0}",20,0,-170.5305819235657,"{0: 11, 1: 2, 2: 2, 3: 2, 4: 3}",1
5,False,"{'a': 0.6, 'e': 1.0}",25,0,-104.266236162215,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.6, 'e': 1.0}",20,0,-127.52281368674215,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",1
7,False,"{'a': 0.6, 'e': 1.0}",20,0,-111.5760049509092,"{0: 8, 1: 3, 2: 8, 3: 1, 4: 0}",0
8,False,"{'a': 0.6, 'e': 1.0}",25,13,-78.56829888532387,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 2}",1
9,False,"{'a': 0.6, 'e': 1.0}",30,0,-68.66120070492349,"{0: 23, 1: 3, 2: 2, 3: 1, 4: 1}",0
10,False,"{'a': 0.6, 'e': 1.0}",25,0,-11.4985558302051,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.6, 'e': 1.0}",30,0,-161.35098445259015,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
12,False,"{'a': 0.6, 'e': 1.0}",20,0,-135.30574811135236,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.6, 'e': 1.0}",20,0,-134.83079040005913,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 3}",0
14,False,"{'a': 0.6, 'e': 1.0}",20,0,-101.23101195519124,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.6, 'e': 1.0}",25,0,-96.24616984585934,"{0: 15, 1: 4, 2: 3, 3: 3, 4: 0}",0
16,False,"{'a': 0.6, 'e': 1.0}",20,10,-34.50041290709229,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
