trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,7,-64.66432644889419,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 1}",1
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.05557689150204,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,6,-112.28668757407553,"{0: 12, 1: 3, 2: 1, 3: 1, 4: 2}",1
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-98.57125988290814,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",30,0,-174.89938764002474,"{0: 20, 1: 2, 2: 3, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,6,-4.840323049574721,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",30,0,-142.38448923079983,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-76.39179099204055,"{0: 11, 1: 4, 2: 3, 3: 2, 4: 0}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-213.40021863872664,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-157.59863423562078,"{0: 20, 1: 1, 2: 6, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-159.84366900921788,"{0: 14, 1: 1, 2: 5, 3: 4, 4: 1}",0
12,False,"{'a': 0.5, 'e': 1.0}",35,0,-150.57530063231565,"{0: 20, 1: 5, 2: 7, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.46228028603169,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,11,-9.205644427904314,"{0: 6, 1: 2, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-62.664349190955924,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-231.85801084240208,"{0: 13, 1: 3, 2: 3, 3: 2, 4: 4}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,2,-37.92197160635458,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 1.0}",30,0,-190.79137499571922,"{0: 18, 1: 0, 2: 9, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,0,-117.24285198314398,"{0: 11, 1: 0, 2: 7, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-13.800563757343427,"{0: 21, 1: 3, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-67.4970206182938,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-207.10422863009254,"{0: 14, 1: 1, 2: 4, 3: 3, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-59.101409917439796,"{0: 11, 1: 6, 2: 2, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",30,0,-144.1921530923999,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 2}",0
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-47.72075959791709,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",30,0,-109.47723678596293,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",25,0,-176.11285148006712,"{0: 10, 1: 3, 2: 9, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",30,0,-242.1034481135354,"{0: 12, 1: 4, 2: 10, 3: 1, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-43.973032354980454,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-194.44214534110415,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
